date_time,source_ip,destination_ip,label,source_port,destination_port,operation
05/Apr/2012 18:27:42,10.32.0.100,172.28.29.21,"",80,1316,Deny
05/Apr/2012 18:28:10,10.32.0.100,172.28.29.171,"",80,1329,Deny
05/Apr/2012 18:28:10,10.32.0.100,172.28.29.20,"",80,1327,Deny
05/Apr/2012 18:28:10,10.32.0.100,172.28.29.7,"",80,1330,Deny
05/Apr/2012 18:28:10,10.32.0.100,172.28.29.6,"",80,1333,Deny
05/Apr/2012 18:28:23,10.32.0.100,172.28.29.178,"",80,1336,Deny
05/Apr/2012 18:28:31,10.32.0.100,172.28.29.24,"",80,1340,Deny
05/Apr/2012 18:28:31,10.32.0.100,172.28.29.177,"",80,1337,Deny
05/Apr/2012 18:32:15,10.32.0.100,172.28.29.22,"",80,1446,Deny
05/Apr/2012 18:32:22,10.32.0.100,172.28.29.28,"",80,1455,Deny
05/Apr/2012 18:32:43,10.32.0.100,172.28.29.24,"",80,1460,Deny
05/Apr/2012 18:36:13,10.32.0.100,172.28.29.0,"",80,1565,Deny
05/Apr/2012 18:36:56,10.32.0.100,172.28.29.3,"",80,1577,Deny
05/Apr/2012 18:36:56,10.32.0.100,172.28.29.178,"",80,1582,Deny
05/Apr/2012 18:40:05,10.32.0.100,172.28.29.27,"",80,1675,Deny
05/Apr/2012 18:40:18,10.32.0.100,172.28.29.9,"",80,1676,Deny
05/Apr/2012 18:40:26,10.32.0.100,172.28.29.0,"",80,1684,Deny
05/Apr/2012 18:40:26,10.32.0.100,172.28.29.171,"",80,1682,Deny
05/Apr/2012 18:40:47,10.32.0.100,172.28.29.177,"",80,1695,Deny
05/Apr/2012 18:41:08,10.32.0.100,172.28.29.178,"",80,1704,Deny
05/Apr/2012 18:41:08,10.32.0.100,172.28.29.7,"",80,1698,Deny
05/Apr/2012 18:43:35,10.32.0.100,172.28.29.3,"",80,1777,Deny
05/Apr/2012 18:43:36,10.32.0.100,172.28.29.6,"",80,1775,Deny
05/Apr/2012 18:43:36,10.32.0.100,172.28.29.78,"",80,1770,Deny
05/Apr/2012 18:43:56,10.32.0.100,172.28.29.7,"",80,1782,Deny
05/Apr/2012 18:44:53,10.32.0.100,172.28.29.20,"",80,1808,Deny
05/Apr/2012 18:45:21,10.32.0.100,172.28.29.170,"",80,1825,Deny
05/Apr/2012 18:47:48,10.32.0.100,172.28.29.79,"",80,1893,Deny
05/Apr/2012 18:47:48,10.32.0.100,172.28.29.176,"",80,1889,Deny
05/Apr/2012 18:47:48,10.32.0.100,172.28.29.24,"",80,1897,Deny
05/Apr/2012 18:47:48,10.32.0.100,172.28.29.0,"",80,1895,Deny
05/Apr/2012 18:48:30,10.32.0.100,172.28.29.26,"",80,1915,Deny
05/Apr/2012 18:49:12,10.32.0.100,172.28.29.178,"",80,1931,Deny
05/Apr/2012 18:50:36,10.32.0.100,172.28.29.27,"",80,1977,Deny
05/Apr/2012 18:52:01,10.32.0.100,172.28.29.0,"",80,2010,Deny
05/Apr/2012 18:52:21,10.32.0.100,172.28.29.8,"",80,2026,Deny
05/Apr/2012 18:52:21,10.32.0.100,172.28.29.171,"",80,2023,Deny
05/Apr/2012 18:52:22,10.32.0.100,172.28.29.29,"",80,2021,Deny
05/Apr/2012 18:55:02,10.32.0.100,172.28.29.9,"",80,2098,Deny
05/Apr/2012 18:55:10,10.32.0.100,172.28.29.20,"",80,2105,Deny
05/Apr/2012 18:55:10,10.32.0.100,172.28.29.0,"",80,2100,Deny
05/Apr/2012 18:55:10,10.32.0.100,172.28.29.79,"",80,2104,Deny
05/Apr/2012 18:55:10,10.32.0.100,172.28.29.176,"",80,2101,Deny
05/Apr/2012 18:55:23,10.32.0.100,172.28.29.8,"",80,2108,Deny
05/Apr/2012 18:55:31,10.32.0.100,172.28.29.172,"",80,2116,Deny
05/Apr/2012 18:55:31,10.32.0.100,172.28.29.29,"",80,2115,Deny
05/Apr/2012 18:55:44,10.32.0.100,172.28.29.23,"",80,2118,Deny
05/Apr/2012 18:55:52,10.32.0.100,172.28.29.174,"",80,2121,Deny
05/Apr/2012 18:55:52,10.32.0.100,172.28.29.178,"",80,2123,Deny
05/Apr/2012 18:57:58,10.32.0.100,172.28.29.27,"",80,2187,Deny
05/Apr/2012 18:58:11,10.32.0.100,172.28.29.9,"",80,2188,Deny
05/Apr/2012 18:58:19,10.32.0.100,172.28.29.78,"",80,2192,Deny
05/Apr/2012 18:58:19,10.32.0.100,172.28.29.25,"",80,2194,Deny
05/Apr/2012 18:58:19,10.32.0.100,172.28.29.0,"",80,2189,Deny
05/Apr/2012 18:58:20,10.32.0.100,172.28.29.20,"",80,2193,Deny
05/Apr/2012 18:59:43,10.32.0.100,172.28.29.173,"",80,2232,Deny
