date_time,operation,source_ip,destination_ip,source_port,destination_port
05/Apr/2012 20:26:56,Deny,172.23.233.38,10.32.5.55,1406,21
05/Apr/2012 20:26:56,Deny,172.23.233.150,10.32.5.55,1400,21
05/Apr/2012 20:26:56,Deny,172.23.233.153,10.32.5.52,1407,21
05/Apr/2012 20:26:56,Deny,172.23.233.34,10.32.5.55,1401,21
05/Apr/2012 20:26:56,Deny,172.23.233.36,10.32.5.55,1409,21
05/Apr/2012 20:26:56,Deny,172.23.231.62,10.32.5.55,1178,21
05/Apr/2012 20:26:56,Deny,172.23.233.6,10.32.5.51,1408,21
05/Apr/2012 20:26:56,Deny,172.23.231.69,10.32.5.51,1179,21
05/Apr/2012 20:26:56,Deny,172.23.233.153,10.32.5.52,1407,21
05/Apr/2012 20:26:56,Deny,172.23.233.151,10.32.5.55,1405,21
05/Apr/2012 20:26:56,Deny,172.23.233.38,10.32.5.55,1406,21
05/Apr/2012 20:26:56,Deny,172.23.231.69,10.32.5.51,1179,21
05/Apr/2012 20:26:56,Deny,172.23.233.32,10.32.5.51,1404,21
05/Apr/2012 20:26:56,Deny,172.23.233.0,10.32.5.54,1402,21
05/Apr/2012 20:26:56,Deny,172.23.233.151,10.32.5.55,1405,21
05/Apr/2012 20:26:56,Deny,172.23.233.150,10.32.5.55,1400,21
05/Apr/2012 20:26:56,Deny,172.23.233.36,10.32.5.55,1409,21
05/Apr/2012 20:26:56,Deny,172.23.233.6,10.32.5.51,1408,21
05/Apr/2012 20:26:56,Deny,172.23.233.37,10.32.5.51,1403,21
05/Apr/2012 20:26:56,Deny,172.23.233.37,10.32.5.51,1403,21
05/Apr/2012 20:26:56,Deny,172.23.233.0,10.32.5.54,1402,21
05/Apr/2012 20:26:56,Deny,172.23.231.68,10.32.5.56,1180,21
05/Apr/2012 20:26:56,Deny,172.23.231.62,10.32.5.55,1178,21
05/Apr/2012 20:26:56,Deny,172.23.233.34,10.32.5.55,1401,21
05/Apr/2012 20:26:56,Deny,172.23.233.32,10.32.5.51,1404,21
05/Apr/2012 20:26:56,Deny,172.23.231.68,10.32.5.56,1180,21
05/Apr/2012 20:26:57,Deny,172.23.233.30,10.32.5.55,1417,21
05/Apr/2012 20:26:57,Deny,172.23.233.34,10.32.5.55,1401,21
05/Apr/2012 20:26:57,Deny,172.23.233.38,10.32.5.55,1406,21
05/Apr/2012 20:26:57,Deny,172.23.233.6,10.32.5.51,1408,21
05/Apr/2012 20:26:57,Deny,172.23.233.35,10.32.5.52,1418,21
05/Apr/2012 20:26:57,Deny,172.23.233.155,10.32.5.54,1414,21
05/Apr/2012 20:26:57,Deny,172.23.231.68,10.32.5.56,1180,21
05/Apr/2012 20:26:57,Deny,172.23.233.158,10.32.5.53,1411,21
05/Apr/2012 20:26:57,Deny,172.23.233.153,10.32.5.52,1407,21
05/Apr/2012 20:26:57,Deny,172.23.233.2,10.32.5.56,1416,21
05/Apr/2012 20:26:57,Deny,172.23.233.33,10.32.5.56,1410,21
05/Apr/2012 20:26:57,Deny,172.23.233.152,10.32.5.50,1415,21
05/Apr/2012 20:26:57,Deny,172.23.233.32,10.32.5.51,1404,21
05/Apr/2012 20:26:57,Deny,172.23.231.69,10.32.5.51,1179,21
05/Apr/2012 20:26:57,Deny,172.23.233.5,10.32.5.52,1413,21
05/Apr/2012 20:26:57,Deny,172.23.233.5,10.32.5.52,1413,21
